Subject,Condition,X2,T2,X1,T1,LaterOptionChosen
49,1,16,365,10,0,0
49,1,18,365,10,0,0
49,1,-2,365,-10,0,0
49,1,-4,365,-10,0,0
49,1,-6,365,-10,0,0
49,1,-8,365,-10,0,0
49,1,-10,365,-10,0,0
49,1,-12,365,-10,0,0
49,1,-14,365,-10,0,0
49,1,-16,365,-10,0,0
49,1,-18,365,-10,0,0
50,1,2,365,10,0,0
50,1,4,365,10,0,0
50,1,6,365,10,0,0
50,1,8,365,10,0,0
50,1,10,365,10,0,0
50,1,12,365,10,0,1
50,1,14,365,10,0,1
50,1,16,365,10,0,1
50,1,18,365,10,0,1
50,1,-2,365,-10,0,0
50,1,-4,365,-10,0,0
50,1,-6,365,-10,0,0
50,1,-8,365,-10,0,0
50,1,-10,365,-10,0,0
50,1,-12,365,-10,0,0
50,1,-14,365,-10,0,0
50,1,-16,365,-10,0,0
50,1,-18,365,-10,0,0
51,1,2,365,10,0,0
51,1,4,365,10,0,0
51,1,6,365,10,0,0
51,1,8,365,10,0,0
51,1,10,365,10,0,0
51,1,12,365,10,0,0
51,1,14,365,10,0,0
51,1,16,365,10,0,0
51,1,18,365,10,0,0
51,1,-2,365,-10,0,1
51,1,-4,365,-10,0,1
51,1,-6,365,-10,0,1
51,1,-8,365,-10,0,1
51,1,-10,365,-10,0,0
51,1,-12,365,-10,0,0
51,1,-14,365,-10,0,0
51,1,-16,365,-10,0,0
51,1,-18,365,-10,0,0
52,1,2,365,10,0,0
52,1,4,365,10,0,0
52,1,6,365,10,0,0
